Resource_ID,Domain_ID,Domain,Resource_Name,Resource_Description,Resource_type,Resource_Redirect_URL,Category,Resource_icon
oxr7jx4c,ls9w3gzv,Decluttering Routines,Notion,"Take Notes, Manage your project totally, Share with other members of company or organizations coordinate deadlines, objectives, and assignments for greater efficiency and productivity.",Application,https://play.google.com/store/apps/details?id=notion.id,,https://rnebolte.sirv.com/self_care_appdata/icons/Resource_icons/Notion-logo.png?w=150&h=150
yuxl8jq2,5f6a443b,Learning,TED-Ed,Learn and Explore various facets of world through magnificent animations,Resource URL,https://youtube.com/teded,Youtube Channel,https://yt3.ggpht.com/HjXKmDGoAp6b-JdGYpqJYYeN4S_CMpD_kqWvldpN53cbzn-i73t6mVNo8mNki-xLPwi0BVSFi-o=s176-c-k-c0x00ffffff-no-rj
nnua479s,5f6a443b,Learning,Veretasium,"Open your Mind, Get overwhelmed by exploring and understanding the science and the technology you live around.",Resource URL,https://youtube.com/c/veritasium,Youtube Channel,https://yt3.ggpht.com/ytc/AMLnZu-FU1d2Jd6AKRDpCwrxrraoKJ3Nrtk4iMpHBdAV4Q=s176-c-k-c0x00ffffff-no-rj-mo
qz6oafbq,5f6a443b,Learning,SkillShare,"An online learning community with thousands of classes for creative and curious people, on topics including illustration, design, photography, video, freelancing, and more.",Website,https://www.skillshare.com/,,https://play-lh.googleusercontent.com/Lfh8g5kPONfSNL7R4s8itnMMdj3lhmHU9tb4gp7eoOaXkJo0dOcwB6iWPdNGZMRDMVs
d1jmninv,a6d0f589,Sleep Management,Ambient Soothing Sounds,"Listen to ambient sleep sounds, calming sounds, and nature sounds to sleep peacefully",Website,https://ambientnoise.online/sleep-sounds/,,https://cdn-icons-png.flaticon.com/512/2778/2778524.png
s7wmcnqb,55458dd7,Need Break,Trip Advisor,"Browse destinations, get reviews and opinions on travel destination places.",Website,https://www.tripadvisor.in/,,https://rnebolte.sirv.com/self_care_appdata/icons/Resource_icons/tripadvisor.png
2rbn4ey2,b2293dc3,Mental Health,myCompass,A self help tool for your mental health,Website,https://www.mycompass.org.au/,,https://www.mycompass.org.au/Images/1035.png
lvzq5o8o,5d7dbcec,Productivity,Evernote ,Taking and organizing notes ,Application,https://play.google.com/store/apps/details?id=com.evernote,,https://play-lh.googleusercontent.com/QJObxznpklAxDNp0OVe3kAP5ZfUouIvRDO0kPj-V3MRjoRYKwj9RVTxOwG9yrlY-bgG3=s48-rw
d3a3e5jv,c04e3201,Self Growth,Atomic Habits,Book that offers readers concrete advice on how https://cdn-icons-png.flaticon.com/512/1384/1384060.png their habits.,Resource URL,https://www.amazon.in/Atomic-Habits-James-Clear/dp/1847941834?ref_=Oct_d_obs_d_1318132031&pd_rd_w=aRvVq&content-id=amzn1.sym.63783fbe-7156-4f6f-9542-5efc5e74da13&pf_rd_p=63783fbe-7156-4f6f-9542-5efc5e74da13&pf_rd_r=F7NX5WX3FDJS9KAZC9Y2&pd_rd_wg=vaSuO&pd_rd_r=f22c1478-6e92-4633-963a-12cbd9adf3fd&pd_rd_i=1847941834,Book,"https://m.media-amazon.com/images/I/51-nXsSRfZL._SX328_BO1,204,203,200_.jpg"
oowskm3y,ls9w3gzv,Decluttering Routines,Authy,Enhance security of your digital accounts by enabling 2FA (2-Factor Authentication) on your accounts,Application,https://play.google.com/store/apps/details?id=com.authy.authy,,https://play-lh.googleusercontent.com/NxyEuJRx4jjR1Q9PXOPGExFQXDKr_pZJ61Cb15eR0aX3UTZKAxWsXvK9Gh4K-NUd5A=s48
86knpg5d,ls9w3gzv,Decluttering Routines,Google Authenticator,Enhance security of your digital accounts by enabling 2FA (2-Factor Authentication) on your accounts,Application,https://play.google.com/store/apps/details?id=com.google.android.apps.authenticator2,,https://play-lh.googleusercontent.com/oMv9o-L-mNKdyL3Hp6fvNwrhAyIYB1iP3p644hxN03oFU0R2oevnmxmCLF6FewjzZXU=s64
g6uep1ob,ls9w3gzv,Decluttering Routines,Microsoft Authenticator,Enhance security of your digital accounts by enabling 2FA (2-Factor Authentication) on your accounts,Application,https://play.google.com/store/apps/details?id=com.azure.authenticator,,https://play-lh.googleusercontent.com/_1CV99jklLbXuun-6E7eCPR-sKKeZc602rhw_QHZz-qm7xrPdgWsJVc7NtFkkliI8No=w240-h480
k7r73ida,f87d9f9d,Time Management,Microsoft To Do Lists & Tasks,"Manage your tasks, Plan your day, Maintain Checklists of specific tasks, Create Remainders and share notes",Application,https://play.google.com/store/apps/details?id=com.microsoft.todos,,https://play-lh.googleusercontent.com/PH-2iORSfQs-iizoHzePXBaJCXml443pgoC14-lZESLFIp78A4SvxLKUVv1FyIQFtC8=s150-rw
tbjqqr8r,5f6a443b,Learning,Khan Academy,"Learn various topics like History, Math, Economics, Finance etc.",Resource URL,https://youtube.com/c/khanacademy,Youtube Channel,https://yt3.ggpht.com/ytc/AMLnZu-Pl3EPSAKD6K5gEeGI_vpE48DJUju6bQ35L9b0=s176-c-k-c0x00ffffff-no-rj
p1rwbae7,5d7dbcec,Productivity,Temporary Mail Generator,Generate Temporary E-mail addresses to login,Website,https://tempmail.email/,,https://rnebolte.sirv.com/self_care_appdata/icons/Resource_icons/temporary%20mail%20generator-icon.png
p9l68ceg,a6d0f589,Sleep Management,Sleepy Head: Relaxing Sounds,Get deep sleep every night and wake up feeling refreshed and rejuvenated.,Application,https://play.google.com/store/apps/details?id=io.fantechlabs.sleephead,,https://play-lh.googleusercontent.com/SdiQcSKjdE7LLPrn8IaHJUxjx0MVcdJXBX-l6hm5nxoiZIb__Vz9QGJ-HEko7N2ga7c=w240-h480-rw
ehve8kiy,a6d0f589,Sleep Management,Sleep Sounds,"It's time to say goodbye to sleepless nights and stop missing out on sweet dreams! Sleep will be your favorite lullaby and will help you fall asleep thanks to soothing stories, meditations, white noise, tons of sounds from different environments and much more.",Application,https://play.google.com/store/apps/details?id=com.bendingspoons.sleep,,https://play-lh.googleusercontent.com/PAHyWlQolU60sGuEw25Su-8eGjZ5WnJwc-czf3eKNlw-zDql-4F8G83YOpj0hzyrUg=s48-rw
8fh96ks6,6eb4ffb4,Utility,UNiDays,Get sites and brands that give student discounts,Website,https://www.myunidays.com/IN/en-IN,,https://public.newsdirect.com/956738310/7wZuxtXi.png
7jnc886g,08c7f2fb,Deal With Anxiety,Dare,Techniques to reduce anxiety & panic attacks and improve your sleep,Application,https://play.google.com/store/apps/details?id=ie.armour.dare2,,https://rnebolte.sirv.com/self_care_appdata/icons/Resource_icons/dare-icon.png
cxr4xw3v,08c7f2fb,Deal With Anxiety,Mindshift CBT,"Self-help anxiety management app to relieve worry, stress and panic",Application,https://play.google.com/store/apps/details?id=com.bstro.MindShift,,https://rnebolte.sirv.com/self_care_appdata/icons/Resource_icons/mindshift%20cbt-icon.png
nz766o8f,08c7f2fb,Deal With Anxiety,Wysa,"Therapy chatbot for mental wellness, mood management and anxiety relief",Application,https://play.google.com/store/apps/details?id=bot.touchkin,,https://rnebolte.sirv.com/self_care_appdata/icons/Resource_icons/Wysa-icon.png
